타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명,사진
255.0,0.295,69.0,1.0,86.0,41.0,18.0,17.0,7.0,0.368,0.346,천성호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50054.jpg
201.0,0.293,51.0,6.0,85.0,33.0,18.0,27.0,0.0,0.489,0.369,오윤석,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64504.jpg
614.0,0.289,159.0,26.0,264.0,92.0,59.0,96.0,6.0,0.48,0.36,강백호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68050.jpg
152.0,0.279,34.0,3.0,46.0,18.0,16.0,19.0,2.0,0.377,0.371,신본기,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/62556.jpg
420.0,0.276,102.0,4.0,140.0,60.0,37.0,45.0,3.0,0.379,0.351,김상수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/79402.jpg
473.0,0.275,111.0,7.0,159.0,49.0,50.0,59.0,9.0,0.394,0.355,배정대,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64166.jpg
489.0,0.268,112.0,19.0,188.0,53.0,60.0,81.0,5.0,0.45,0.355,장성우,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/78548.jpg
192.0,0.266,45.0,3.0,58.0,22.0,17.0,28.0,7.0,0.343,0.337,심우준,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64006.jpg
536.0,0.26,128.0,13.0,189.0,60.0,34.0,58.0,4.0,0.383,0.309,황재균,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/76313.jpg
403.0,0.256,89.0,17.0,151.0,50.0,45.0,58.0,6.0,0.435,0.351,문상철,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64007.jpg
48.0,0.25,11.0,0.0,11.0,12.0,2.0,3.0,0.0,0.25,0.283,안치영,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67006.jpg
165.0,0.248,37.0,0.0,42.0,17.0,13.0,13.0,5.0,0.282,0.309,조용호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64868.jpg
343.0,0.243,72.0,11.0,125.0,33.0,36.0,45.0,0.0,0.422,0.321,오재일,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/75334.jpg
30.0,0.24,6.0,0.0,8.0,6.0,5.0,3.0,0.0,0.32,0.367,김준태,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/62558.jpg
74.0,0.226,14.0,0.0,16.0,9.0,8.0,3.0,0.0,0.258,0.324,정준영,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/53058.jpg
